Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A849089,*Leon Redbone,1/2/2022 8:02,Jan-22,4434 Frontier Trail in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Redbone Hound/Greyhound,Brown
A849090,Trouble,1/2/2022 8:30,Jan-22,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 years,Bulldog/Pit Bull,Tan/White
A849091,Ripley,1/2/2022 8:41,Jan-22,7632 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull/Labrador Retriever,Black/White
A849103,,1/2/2022 10:21,Jan-22,400 Kellam Rd in Travis (TX),Stray,Normal,Dog,Intact Male,10 months,German Shepherd Mix,Brown/Black
A849097,Chief,1/2/2022 10:28,Jan-22,800 Shady Lane in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull,White/Red
A849104,Coco,1/2/2022 10:40,Jan-22,1148 Tillery Street in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,Australian Cattle Dog,Brown Merle
A848702,Moody,1/2/2022 10:59,Jan-22,Stonehollow Drive in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Labrador Retriever/Siberian Husky,Yellow
A849109,Ocean,1/2/2022 12:16,Jan-22,11539 Maha Loop in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Shih Tzu,Cream
A849112,*Bubbles,1/2/2022 13:04,Jan-22,Stassney And Buffalo Pass in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Blue/White
A765738,*Andy,1/2/2022 13:48,Jan-22,East Martin Luther King Jr Dr in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Red
A849117,Dahlia,1/2/2022 14:19,Jan-22,132 S Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Beagle Mix,White/Tan
A849122,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,Black/White
A849120,*Anna,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Anatol Shepherd,White/Black
A849121,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Anatol Shepherd,White
A849124,*Tres,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Anatol Shepherd,White/Black
A849123,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,White/Black
A849128,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,White/Blue Merle
A849125,*Kewpie,1/2/2022 14:37,Jan-22,8827 East Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
A849129,,1/2/2022 15:33,Jan-22,9201 Brodie Lane Apartment 303 in Austin (TX),Stray,Neonatal,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Brown/Tan
A848742,Mauser,1/2/2022 16:22,Jan-22,8601 Anderson Mill Road in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,German Shepherd,Black/Brown
A849133,Luna,1/2/2022 16:58,Jan-22,1015 E Yager Lane in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Cane Corso,Black Brindle
A849148,,1/3/2022 7:58,Jan-22,4434 Frontier in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,5 months,Labrador Retriever Mix,Brown/Black
A849152,Bruno,1/3/2022 9:49,Jan-22,14435 Cameron Road in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle/White
