Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A827498,*Joey,1/2/2021 11:12,Jan-21,12/23/2018,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,Fawn
A827859,Peluchin,1/2/2021 11:18,Jan-21,11/2/2020,Transfer,Partner,Dog,Intact Male,1 month,Pomeranian Mix,Red/White
A827861,Ozzie,1/2/2021 12:10,Jan-21,1/2/2001,Return to Owner,Field,Dog,Neutered Male,20 years,Tibetan Terrier,Black
A827173,*Dyson,1/2/2021 12:17,Jan-21,12/15/2017,Adoption,,Dog,Neutered Male,3 years,Great Pyrenees/Golden Retriever,White/Tan
A826983,Max,1/2/2021 12:25,Jan-21,2/10/2017,Return to Owner,,Dog,Neutered Male,3 years,Beagle,Tricolor
A826984,Husky,1/2/2021 12:26,Jan-21,8/10/2016,Return to Owner,,Dog,Neutered Male,4 years,Alaskan Husky/German Shepherd,Black/White
A827770,Bella,1/2/2021 12:51,Jan-21,12/30/2013,Return to Owner,,Dog,Spayed Female,7 years,Pit Bull,White/Brown
A827642,Buster,1/2/2021 13:03,Jan-21,9/13/2020,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Tan
A827643,Joansy,1/2/2021 13:04,Jan-21,9/13/2020,Transfer,Partner,Dog,Intact Female,3 months,Chihuahua Shorthair,Tan
A827662,Bitsy,1/2/2021 13:12,Jan-21,6/28/2019,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair,Brown/White
A827715,Smokey,1/2/2021 13:12,Jan-21,12/29/2019,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair,Black
A827657,Twix,1/2/2021 13:13,Jan-21,12/28/2019,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair,Brown/White
A827771,Kiskar,1/2/2021 13:27,Jan-21,12/30/2018,Return to Owner,,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Black/White
A827856,,1/2/2021 13:33,Jan-21,1/1/2019,Return to Owner,,Dog,Intact Male,2 years,Great Pyrenees,Brown/White
A827857,Ty,1/2/2021 14:55,Jan-21,7/2/2020,Return to Owner,,Dog,Intact Male,6 months,Labrador Retriever,Black/White
A826043,Pacman,1/2/2021 14:59,Jan-21,10/27/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Chocolate
A826044,Pip,1/2/2021 15:01,Jan-21,10/27/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black
A826045,Bowie,1/2/2021 15:02,Jan-21,10/27/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
A826046,Lewis,1/2/2021 15:03,Jan-21,10/27/2020,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black
A824774,Blackie,1/2/2021 17:01,Jan-21,12/16/2017,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair,Black
A827447,Pebbles,1/2/2021 17:10,Jan-21,2/22/2020,Rto-Adopt,,Dog,Spayed Female,10 months,Beagle/Catahoula,Tan/White
A827870,,1/2/2021 17:21,Jan-21,5/2/2020,Transfer,Partner,Dog,Intact Male,8 months,Chihuahua Shorthair,White/Tricolor
A825533,Lani,1/3/2021 11:25,Jan-21,12/5/2019,Return to Owner,,Dog,Spayed Female,1 year,Plott Hound,Brown/Black
A827567,*Louie,1/3/2021 11:55,Jan-21,12/25/2018,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle,Gray/White
A792834,Sheba,1/3/2021 14:13,Jan-21,4/17/2014,Adoption,,Dog,Spayed Female,6 years,Pit Bull,Black Brindle/White
A714015,Opie,1/3/2021 14:14,Jan-21,10/16/2013,Return to Owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tan
A821201,Prince,1/3/2021 14:43,Jan-21,8/6/2019,Adoption,,Dog,Neutered Male,1 year,Smooth Fox Terrier Mix,White/Blue Merle
A827653,,1/3/2021 14:50,Jan-21,12/28/2017,Transfer,Partner,Dog,Intact Female,3 years,Miniature Schnauzer,Gray
A827652,,1/3/2021 14:50,Jan-21,12/28/2017,Transfer,Partner,Dog,Intact Female,3 years,Miniature Schnauzer,Gray/Tan
A827651,,1/3/2021 14:50,Jan-21,12/28/2019,Transfer,Partner,Dog,Intact Male,1 year,Soft Coated Wheaten Terrier,Tan
A817134,Layla,1/3/2021 17:42,Jan-21,5/8/2018,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Blue/White
A827374,Sparky,1/4/2021 11:13,Jan-21,12/19/2007,Adoption,,Dog,Neutered Male,13 years,Chihuahua Shorthair,Brown/White
A827875,,1/4/2021 11:52,Jan-21,1/2/2020,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,Tan
A827461,Marley,1/4/2021 13:59,Jan-21,3/13/2020,Adoption,,Dog,Neutered Male,9 months,Australian Cattle Dog,Red/White
A827914,Coco Bean,1/4/2021 14:21,Jan-21,3/3/2019,Return to Owner,,Dog,Intact Female,1 year,Boxer,Brown/White
A816148,*Magoo,1/5/2021 9:14,Jan-21,2/23/2020,Adoption,Foster,Dog,Neutered Male,10 months,Black Mouth Cur Mix,Red
A827823,Winnie,1/5/2021 11:22,Jan-21,12/31/2010,Transfer,Partner,Dog,Spayed Female,10 years,Maltese,White/White
A827249,*Tofu,1/5/2021 11:49,Jan-21,12/17/2018,Adoption,,Dog,Neutered Male,2 years,Boxer,Brown/White
A827976,,1/5/2021 13:10,Jan-21,11/4/2020,Transfer,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair,White/Brown
A827835,,1/5/2021 13:29,Jan-21,12/31/2019,Euthanasia,At Vet,Dog,Unknown,1 year,Basset Hound Mix,Brown/White
A827802,Snow Bear,1/5/2021 13:30,Jan-21,12/31/2009,Euthanasia,Suffering,Dog,Neutered Male,11 years,Great Pyrenees,White/Tan
A827989,Max,1/5/2021 13:54,Jan-21,1/5/2014,Return to Owner,,Dog,Intact Male,7 years,Shih Tzu/French Bulldog,White/Black
A827933,Lady Bird,1/5/2021 14:32,Jan-21,1/4/2013,Return to Owner,,Dog,Spayed Female,8 years,Jack Russell Terrier/Rat Terrier,Black/White
A827986,Toro,1/5/2021 14:51,Jan-21,1/5/2020,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair,Black
A827808,*Millie,1/5/2021 17:25,Jan-21,12/31/2018,Adoption,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
